attributnamn	value	Definition
enhet_tx	STEQDioxin2005upp_pg.g-1.lv-1	S-TEQ Dioxiner -WHO2005 (övre) pg/g lv (lipidvikt)
enhet_tx	STEQDioxin2005upp_pg.g-1.vv-1	S-TEQ Dioxiner-WHO2005 (övre) pg/g vv (våtvikt)
enhet_tx	VSAIR-PROMILLE	vs air (‰)
enhet_tx	VSPDB-PROMILLE	vs PDB (PeeDee Belemnite) (‰)
enhet_tx	VSVPDB-PROMILLE	vs VPDB (Vienna PeeDee Belemnite) (‰)
enhet_tx	antal.1000_ml-1	antal/1000 ml
enhet_tx	antal.100_ml-1	antal/100 ml
enhet_tx	antal.g-1.tv-1	antal/g tv (torrvikt)
enhet_tx	antal.individ-1	antal/individ
enhet_tx	antal.ml-1	antal/ml
enhet_tx	ar	år
enhet_tx	cfu.1000_ml-1	cfu/1000 ml, antal kolonibildande enheter (colony-forming units, cfu) per 1000 ml
enhet_tx	cfu.100_ml-1	cfu/100 ml, antal kolonibildande enheter (colony-forming units, cfu) per 100 ml
enhet_tx	cfu.ml-1	cfu/ml, antal kolonibildande enheter (colony-forming units, cfu) per ml
enhet_tx	cm	cm
enhet_tx	enhetslos	enhetslös
enhet_tx	fg.m3-1	fg/m3 (femtogram per kubikmeter)
enhet_tx	g	g
enhet_tx	g.100g-1.vv-1	g/100 g vv (våtvikt)
enhet_tx	g.cm3-1	g/cm3
enhet_tx	g.kg-1.tv-1	g/kg tv (torrvikt)
enhet_tx	g.l-1	g/l
enhet_tx	idx	Index
enhet_tx	l	l
enhet_tx	m	m
enhet_tx	mS.m-1	mS/m (millisiemens per m)
enhet_tx	mekv.l-1	Milliekvivalenter per liter
enhet_tx	mg.g-1.tv-1	mg/g tv (torrvikt)
enhet_tx	mg.kg-1	mg/kg
enhet_tx	mg.kg-1.lv-1	mg/kg lv (lipidvikt)
enhet_tx	mg.kg-1.tv-1	mg/kg tv (torrvikt)
enhet_tx	mg.kg-1.vv-1	mg/kg vv (våtvikt)
enhet_tx	mg.l-1	mg/l
enhet_tx	mg.ml-1	mg/ml
enhet_tx	mg_HCO3.l-1	mg HCO3/l
enhet_tx	mg_NP-TEQ.kg-1.tv-1	mg nonylfenol-ekvivalenter/kg torrvikt; mg NP-TEQ/kg tv
enhet_tx	mg_NP-ekv.kg-1.tv-1	mg NP-ekv/kg tv (mg nonylfenol-ekvivalenter/kg torrvikt)
enhet_tx	mg_O2.l-1	mg O2/l, för kemisk syreförbrukning
enhet_tx	mg_Pt.l-1	mg Pt/l (mg platina/liter)
enhet_tx	ml	ml
enhet_tx	mm	mm
enhet_tx	mmol.l-1	mmol/l (millimol/liter)
enhet_tx	ng.SMPD-1	"ng/SMPD (""semipermeable membrane device"")"
enhet_tx	ng.g-1	ng/g
enhet_tx	ng.g-1.lv-1	ng/g lv (lipidvikt)
enhet_tx	ng.g-1.tv-1	ng/g tv (torrvikt)
enhet_tx	ng.g-1.vv-1	ng/g vv (våtvikt)
enhet_tx	ng.kg-1	ng/kg
enhet_tx	ng.kg-1.lv-1	ng/kg lv (lipidvikt)
enhet_tx	ng.kg-1.tv-1	ng/kg tv (torrvikt)
enhet_tx	ng.kg-1.vv-1	ng/kg vv (våtvikt)
enhet_tx	ng.l-1	ng/l
enhet_tx	ng.m2-1	ng/m2 (ng per kvadratmeter)
enhet_tx	ng.m2-1.dag-1	ng/m2/dag (ng per kvadratmeter och dag)
enhet_tx	ng.m3-1	ng/m3 (ng per kubikmeter)
enhet_tx	ng.ml-1	ng/ml
enhet_tx	ng.prov-1	ng/prov
enhet_tx	ngDHT.l	ng DHT/l (ng  dihydrotestosteron-enheter/l)
enhet_tx	ngE2.l	ng E2/l (ng östradiol (17b)-enheter/l)
enhet_tx	ngSn.g-1.tv-1	ng Sn/g tv (torrvikt)
enhet_tx	ngSn.l-1	ng Sn/l
enhet_tx	ng_BaP-ekv.g-1	ng BaP-ekv/g (ng benso[a]pyren-ekvivalenter per gram)
enhet_tx	ng_BaP-ekv.g-1.tv-1	ng BaP-ekv/g torrvikt (ng benso[a]pyren-ekvivalenter per gram torrvikt)
enhet_tx	ng_DHT-ekv.l-1	ng DHT-ekv/l (ng dihydrotestosteron-ekvivalenter per liter)
enhet_tx	ng_DHT.l-1	ng DHT/l (ng  dihydrotestosteron-enheter/l)
enhet_tx	ng_E2-ekv.g-1	ng E2-ekv/g (ng 17β-östradiol-ekvivalenter per gram)
enhet_tx	ng_E2-ekv.g-1.tv-1	ng E2-ekv/g torrvikt (ng 17β-östradiol-ekvivalenter per gram torrvikt)
enhet_tx	ng_E2-ekv.l-1	ng E2-ekv/l (ng 17β-östradiol-ekvivalenter per liter)
enhet_tx	ng_E2.l-1	ng E2/l (ng 17β-östradiol-enheter/l)
enhet_tx	ng_NP-ekv.l-1	ng NP-ekv/l (ng nonylfenol-ekvivalenter per liter)
enhet_tx	ng_PFOA-ekv.l-1	ng PFOA-ekv/l (ng PFOA-ekvivalenter per liter)
enhet_tx	ng_TCDD-ekv.kg-1.tv-1	ng 2,3,7,8-TCDD-ekv/kg torrvikt (ng 2,3,7,8-tetraklordibenso-p-dioxin-ekvivalenter per kilogram torrvikt)
enhet_tx	ng_TCDD-ekv.l-1	ng TCDD-ekv/l (ng TCDD-ekvivalenter per liter)
enhet_tx	ng_dex-ekv.l-1	ng dexametason-ekv/l (ng dexametason-ekvivalenter per liter)
enhet_tx	ng_raloxifen-ekv.l-1	ng raloxifen-ekv/l (ng raloxifen-ekvivalenter per liter)
enhet_tx	pg.g-1	pg/g
enhet_tx	pg.g-1.lv-1	pg/g lv (lipidvikt)
enhet_tx	pg.g-1.tv-1	pg/g tv /torrvikt)
enhet_tx	pg.g-1.vv-1	pg/g vv (våtvikt)
enhet_tx	pg.l-1	pg/l
enhet_tx	pg.m2-1	pg/m2 (pg per kvadratmeter)
enhet_tx	pg.m2-1.dag-1	pg/m2/dag (pg per kvadratmeter och dag)
enhet_tx	pg.m3-1	pg/m3 (pg per kubikmeter)
enhet_tx	pg.m3-1_ torrgas_10PROC_CO2	pg/m3 vid förbränning i torrgas med 10 % CO2
enhet_tx	pg_E2-ekv.l-1	pg E2-ekv/l (pg östradiol (17b)-ekvivalenter per liter)
enhet_tx	pg_TEQ.g -1.lv-1	pg TEQ/g lv (lipidvikt)
enhet_tx	stadium	stadium
enhet_tx	ug	µg
enhet_tx	ug.SMPD-1	"µg/SMPD (""semipermeable membrane device"")"
enhet_tx	ug.g-1	ug/g
enhet_tx	ug.g-1.lv-1	µg/g lv (lipidvikt)
enhet_tx	ug.g-1.tv-1	µg/g tv (torrvikt)
enhet_tx	ug.g-1.vv-1	µg/g vv (våtvikt)
enhet_tx	ug.kg-1.lv-1	µg/kg lv (lipidvikt)
enhet_tx	ug.kg-1.tv-1	µg/kg tv (torrvikt)
enhet_tx	ug.kg-1.vv-1	µg/kg vv (våtvikt)
enhet_tx	ug.l-1	µg/l
enhet_tx	ug.m2-1.dag-1	µg/m2/dag (μg per kvadratmeter per dag)
enhet_tx	ug.m3-1	µg/m3 (µg per kubikmeter)
enhet_tx	ug.vv-1	µg/x? vv (våtvikt)
enhet_tx	ugSn.kg-1.tv-1	ug Sn/kg tv (torrvikt)
enhet_tx	ug_OHF-ekv.l-1	µg OHF-ekv/l  (µg hydroxiflutamid-ekvivalenter per liter)
enhet_tx	ug_tBHQ-ekv.l-1	µg tBHQ-ekv/l (µg tert-butylhydrokinon-ekvivalenter per liter)
matvstd_tx	b	Under detektionsgräns (LOD)
matvstd_tx	m	Saknas, ej mätt
matvstd_tx	n	Ej detekterad
matvstd_tx	o	Över övre gräns
matvstd_tx	p	problematisk kvantifiering.Den detekterade analyten kunde inte kvantifieras p.g.a. t.ex. matriseffekter och sam-eluering.Detta innebär INTE att halterna ligger under LOD och LOQ.
matvstd_tx	q	Under kvantifieringsgräns (LOQ/rapporteringsgräns)
matosakerhettyp_tx	U2	Utvidgad mätosäkerhet
matosakerhettyp_tx	SD	Standardavvikelse
provlagring_tx	EJ_REL	Ej relevant, information ej av betydelse för parametern
provlagring_tx	FRYST	Fryst, förvaring frys
provlagring_tx	FRYSTO	Frystorkat, förvaring torrt
provlagring_tx	ISOPRO	Isopropanol, konservering
provlagring_tx	KYLT	Kylt <+8 grad C, förvaring kylskåp
provlagring_tx	LUFTTO	Lufttorkat, förvaring torrt
provlagring_tx	RUMTEM	Rumstemperatur >+8 grad C, förvaring torrt
provlagring_tx	SAKNAS	Saknas, information ej tillgänglig
provlagring_tx	TORKAT	Torkat i 105 grad C, förvaring torrt
provberedning_tx	0_1M_HNO3	Uppslutning med 0,1 M salpetersyra (HNO3)
provberedning_tx	12M_HCl	Behandling av provet i en atmosfär av 12 M saltsyra (HCl)
provberedning_tx	13C12_PCB_ISTD	PCB-13C12  intern standard
provberedning_tx	13C12_PPDDE_ISTD	ppDDE-13C612 intern standard
provberedning_tx	13C6_GHCH_ISTD	Gamma-HCH-13C6  intern standard
provberedning_tx	13C6_NAFT_ISTD	Naftalen-13C6  intern standard
provberedning_tx	13C6_PCBZ_ISTD	13C6-pentaklorbensen intern standard
provberedning_tx	13C6_PCP_ISTD	Pentaklorfenol-13C6 intern standard
provberedning_tx	1M_HCl	Behandling av provet med 1 M saltsyra (HCl)
provberedning_tx	1_procent_HNO3	1% HNO3
provberedning_tx	7MHNO3	Uppslutning med 7 M salpetersyra (HNO3), svensk standard
provberedning_tx	7_procent_MgCl2	7% MgCl2-lösning
provberedning_tx	ACACET	Aceton/acetonitril för lipidseparation
provberedning_tx	ACETHEX_HEXETER	Extraktion med aceton/hexan och hexan/eter
provberedning_tx	ACETON	Extraktion med aceton
provberedning_tx	ACHEX	Aceton/hexan/Na2SO4
provberedning_tx	ACHEXAN	Extraktion med aceton/hexan
provberedning_tx	ACHEXAN_1_9	Extraktion med aceton/hexan 1/9
provberedning_tx	ACHEXDEE	Extraktion med aceton, n-hexan, dietyleter
provberedning_tx	ACHEXHEXE	Extraktion Aceton/hexan, 2,5/1 följt av hexan/eter, 9/1 och flerstegsupprening med flerlagers silika-kolonn, kolkolonn och mini-silika kolonn
provberedning_tx	ACHS	Aceton/hexan/Na2SO4/H2SO4
provberedning_tx	AC_MeOH	Extraktion med aceton/metanol 1:1
provberedning_tx	AHTN-D3_MuskXyl-D15_ISTD	Intern standard med tonalid-D3 (AHTN-D3/myskxylen-D15 (MuskXyl-D15)
provberedning_tx	AKTKOL_CELIT	Rening med aktivt kol och celit
provberedning_tx	AL2O3	Rening med Aluminiumoxid (Al2O3)
provberedning_tx	ALS_B_PB29_MW	ALS B-PB29-MW - ALS uppslutningsmetod: Uppslutning i salpetersyra/väteperoxid i mikrovågsugn enligt SE-SOP-0041 (SS-EN 13805:2014)
provberedning_tx	ALS_GBA_TOPASSAY_PFAS	ALS (utförare: GBA Gesellschaft für Bioanalytik mbH) TOP (Total Oxidisable Precursors)-assay för PFAS. TOP-assay för jord med oxidativa förhållanden för nedbrytning av PFAS-substanser till analyserbara föreningar
provberedning_tx	ALS_S_P36	ALS S-P36. ALS metod 36, beredning för analys av metylkvicksilver i slam och sediment. 0,5-3 g vått prov vägs in och spikas sedan bl.a. med anrikad metyl-Hg samt oorganiska Hg-standarder. Sedan lakas proverna m.h.a. en blandning av CuSO4- och KBr- lösningar, extraheras med organiskt lösningsmedel och åter-extraheras med vatten
provberedning_tx	ALS_S_P46	"ALS-S-P46 - ALS provberedningsmetod för tennorganiska föreningar (OTC) i jord, slam och sediment enligt SE-SOP-0036 (SS-EN ISO 23161:2018). ""Icke torkade prover vägs in och lakas med en metanol/ättiksyra/H2O-blandning i ultraljudsbad. Sedan neutraliseras extraktionen med acetatbuffert samt natriumhydrixid. Efter det derivatiseras proverna i pentan m.h.a  STEB (natriumtetraetylborat). Efter derivatiseringen tvättas pentanfasen före analys."""
provberedning_tx	ALS_S_PA16_HB	ALS S-PA16-HB - ALS uppslutningsmetod: Totaluppslutning i salpetersyra/saltsyra/fluorvätesyra i hotblock enligt SE-SOP-0039 (SS-EN 13656:2003)
provberedning_tx	ALS_S_PAR53_HB	ALS S-PAR53-HB. Upplösning med kungsvatten i hotblock enligt SE-SOP-0047 (SS-EN ISO 54321:2021 och SS-EN 16174:2012). Ca 0,5-1 g prov vägs in och lakas med HNO3 och HCl i värmeblock
provberedning_tx	ALS_S_PM59_HB	ALS S-PM59-HB. Upplösning i 7M salpetersyra i hotblock enligt SE-SOP-0021. Ca 0,5-1 g prov vägs in och lakas med HNO3 i värmeblock
provberedning_tx	ALS_S_PS49_FU	ALS S-PS49-FU - ALS uppslutningsmetod: LiBO2-smältning enligt SE-SOP-0060 (ASTM D3682:2013; ASTM D4503:2008; An. Chem. 50:679-680)
provberedning_tx	ANGDEST	Ångdestillering
provberedning_tx	APDCMI	Ammoniumpyrrolidinditiokarbamat och metylisobutylketon
provberedning_tx	ASE	ASE (accelerated solvent extraction)
provberedning_tx	ASE_EtACET	ASE (accelerated solvent extraction) med etylacetat
provberedning_tx	ASE_EtACET_CYKHEX	ASE (accelerated solvent extraction) med etylacetat/cyklohexan
provberedning_tx	ASTM_D3682_2013	ASTM D 3682:2013 American Society for Testing and Materials - Standard Test Method for Major and Minor Elements in Combustion Residues from Coal Utilization Processes by Atomic Spectrometry
provberedning_tx	ASTM_D4503_2008	ASTM D4503:2008 American Society for Testing and Materials - Standard Practice for Dissolution of Solid Waste by Lithium Metaborate Fusion
provberedning_tx	C2H3N	Extraktion/homogenisering med acetonitril
provberedning_tx	C2H3NHEX	Extraktion med acetonitril/hexan
provberedning_tx	CALFLO_CELIT	Filtrering med calflo/celit (värmebärare/filter) för fettseparation
provberedning_tx	CENTRIFUG	Centrifugering
provberedning_tx	COMBUST_IR	Combustion method with IR detection
provberedning_tx	CYCHEX	Extraktion med cyklohexan
provberedning_tx	Cu_SVAVELBORTTAG	Kopparbehandling (för borttagning av svavel)
provberedning_tx	DCM	Vätske-vätske-extraktion med diklormetan
provberedning_tx	DCM_ELU	Eluering med diklormetan
provberedning_tx	DCM_NA2SO4	Vätske-vätske-extraktion med diklormetan följt av torkning med natriumsulfat
provberedning_tx	DEKANT	Dekantering av grumliga prover
provberedning_tx	DEKON	Dekonjugering
provberedning_tx	DERIVAT	Derivatisering
provberedning_tx	DERIVAT_SLU-AQUA	Derivatisation procedure from Swedish University of Agricultural Sciences (SLU Aqua): A tetrabutylammonium (TBA) carbonate buffer (1.5 mL) made by dissolving sodium carbonate (Na2CO3; 4.24 g) and tetrabutyl ammonium hydrogen sulfate (TBAHSO4; 6.8 g) in water (100 mL) was added to the sample.   Acetic acid anhydride (50 µL) was then added and the sample was mixed for 1 min, by shaking by hand. This process was repeated once more with an additional portion of acetic acid anhydride (50 µL). When the reaction was finalised, the organic solvent was isolated and reduced to 100 µL under a stream of nitrogen gas prior to instrumental analysis
provberedning_tx	DIALYS	Dialys
provberedning_tx	DIG_HNO3_115_120_oC	Digestion of  biota tissue was performed in open vessels by addition of HNO3 and incremental heating to 115-120 °C
provberedning_tx	DIL_MILLIQ	Utspädning i Milli-Q-vatten
provberedning_tx	DIMETSULF	Dimetylsulfoxid (DMSO)
provberedning_tx	DIREKTANALYS	Direktanalys utan filtrering
provberedning_tx	DISSEKT	Dissektion
provberedning_tx	DLLME	Dispersiv vätske-vätskemikroextraktion (Dispersive liquid liquid microextraction)
provberedning_tx	EF_QuEChERS	"Eurofins provberedningsmetod enligt QuEChERS. Provet extraheras med acetonitril och internstandard (kol-13 märkta PFAS). Efter centrifugering torkas acetonitrilfasen med magnesiumsulfat och natriumklorid. Därefter renas acetonitrilfasen med  C18, Fluorisil och ENVI Carb.""Solid-phase extraction method for detection of pesticide residues in food. The sample (fruits, vegetables, tobacco, etc.) is homogenized and centrifuged with a reagent and agitated for 1 minute. The reagents used depend on the type of sample to be analyzed. Following this, the sample is put through a dispersive solid phase extraction cleanup prior to analysis by gas-liquid chromatography or liquid-liquid chromatography. F. J. Schenck and J. E. Hobbs (July 2004). ""Evaluation of the Quick, Easy, Cheap, Effective, Rugged, and Safe (QuEChERS) Approach to Pesticide Residue Analysis"". Bulletin of Environmental Contamination and Toxicology. New York: Springer. 73 (1): 24–30. doi:10.1007/s00128-004-0388-y2"""
provberedning_tx	EJ_REL	Ej relevant, information ej av betydelse för parametern
provberedning_tx	ELU_DCM	Eluering nmed diklormetan
provberedning_tx	ELU_MeOH_01PRNH4OHMeOH	Eluering med metanol och 0.1% ammoniumhydroxid i metanol
provberedning_tx	ENDOSULF_ISTD	D4-endosulfan intern standard
provberedning_tx	ENVI_Carb	Rening med ENVI-Carb
provberedning_tx	ETANOL	Etanol
provberedning_tx	EVAP	Evaporation (avdunstning)
provberedning_tx	EXTR	Extraktion = vätske-vätske-extraktion (LLE: liquid liquid extraction)
provberedning_tx	EtOH_NaDDTC_HEX	Extraktion med etanol/natriumdietylditiokarbamat (Na-DDTC)/hexan
provberedning_tx	FASTFAS_EXTR	Fast fas-extraktion (SPE: solid phase extraction)
provberedning_tx	FASTFAS_VATSKE_EXTR	Fastfas-vätskefas-extraktion (SPE, solid phase extraction-LE, liquid extraction
provberedning_tx	FILTR_0,45	Filtrerat på labb vid 0,45 µm
provberedning_tx	FILTR_1	Filtrerat på labb vid 1 µm
provberedning_tx	FILTR_5	Filtrerat på labb vid 5 µm
provberedning_tx	FILTR_GLASFIB_0,7	Filtrerat på labb vid 0,7 µm med glasfiberfilter
provberedning_tx	FILTR_X	Filtrerat på labb, porstorlek okänd
provberedning_tx	FLORISILKOL	Florisilkolonn
provberedning_tx	FRAK	Fraktionering
provberedning_tx	FRAK_KOLKOLONN	Fraktionering med kolkolonn
provberedning_tx	FRYST	Fryst
provberedning_tx	FRYSTO	Frystorkning
provberedning_tx	FRYSTO_TENNKAP	Provet frystorkas och vägs sedan in i tennkapslar
provberedning_tx	FRYST_HBR_DKM	Frystorkning, homogenisering, HbR tillsattes och sedan extraherades med diklormetan
provberedning_tx	GLU-ASK-OH	β-glucuronidassuspension från Helix pomatia + askorbinsyra löst i etanol
provberedning_tx	GPC_FRAK	GPC-fraktionering (gel permeation chromatography)
provberedning_tx	GRAF_KOL	Upprening med grafitiserat kol
provberedning_tx	H2SO4	Svavelsyra
provberedning_tx	H2SO4_LIPID	Svavelsyra för lipidseparation
provberedning_tx	HBR_TROP_DCM	Extraktion med HBr och tropolon i diklormetan
provberedning_tx	HCLO4H	Perklorsyra/salpetersyreupplösning
provberedning_tx	HCLO4H_HNO3	Våtuppslutning med perklorsyra/salpetersyra
provberedning_tx	HCLO4H_HNO3_H2SO4	Våtuppslutning med perklorsyra/salpetersyra/svavelsyra
provberedning_tx	HCl	Extraktion med saltsyra
provberedning_tx	HCl_UTSP_KOKNING	Kokning i utspädd saltsyra (HCl)
provberedning_tx	HEXAN	Extraktion med hexan
provberedning_tx	HEXAN_DCM_SILIKA_ML	"Extraktion med hexan/diklormetan (1:1) och rening på  ""multilayer"" kiselgel-kolonn (multilayer silica column)"
provberedning_tx	HEXCYCHEXAC	Extraktion med  n-hexan/cyklohexan/aceton
provberedning_tx	HEXDEE	Extraktion med n-hexan/dietyleter
provberedning_tx	HEXDEEPROP	Extraktion med n-hexan/dietyleter och 2-propanol
provberedning_tx	HEX_MTBE	Extraktion med hexan/metyl-tert-butyl-eter (MTBE)
provberedning_tx	HF	Fluorvätesyra/perklorsyra/salpetersyreupplösning
provberedning_tx	HNO3	Uppslutning med salpetersyra (HNO3)
provberedning_tx	HNO3_1_100	Surgörning med 1 ml salpetersyra per 100 ml
provberedning_tx	HNO3_HCl	Upplösning med salpetersyra/saltsyra (kungsvatten = aqua regia)
provberedning_tx	HOACANHYD	Derivatisering med ättikssyraanhydrid
provberedning_tx	HOMOGEN	Homogenisering
provberedning_tx	HOMOGEN_2PROPDEE	Homogenisering med 2-propanol och dietyleter
provberedning_tx	HOMOGEN_Na2SO4	Homogenisering med aktiverat natriumsulfat
provberedning_tx	HYDROLYS_SUR	Sur hydrolys
provberedning_tx	INDUNST	Indunstning
provberedning_tx	INGEN	Ingen beredning på laboratorium
provberedning_tx	ISOHEX_ISOPROP_DEE_SLU-AQUA	Extraction with mixture of iso-hexane, iso-propanol, and diethyl ether (3:5:1), 25 mL)
provberedning_tx	ISOTOPUTSP	Isotoputspädning (isotope dilution)
provberedning_tx	ISTD	Intern standard
provberedning_tx	ISTD-ACET	Massmärkta interna standarder + Acetonitril
provberedning_tx	IVL_HG_BERED	IVL-metod för bestämning av kvicksilver, provberedning - Fasta prover uppsluts i en blandning av koncentrerad HNO3/H2SO4 med återloppskokning. För att säkerställa fullständig oxidation till Hg(II) behandlas provet dessutom med extra oxidationsmedel och späds sedan med SQ-vatten. Därefter reduceras kvicksilvret till Hg0 med reduktionsmedel och samlas upp på guldfälla genom purge and trap-metod med N2 som bärgas, följt av dubbel guld-amalgamering innan analys
provberedning_tx	IVL_PAH_BIOTA	IVL-metod för PAH i biota - 5-10 g matris invägdes för bestämning av PAH. En internstandard sattes till provet som därefter upprepade gånger extraherades först med aceton och därefter med en blandning av pentan/dietyleter. Extraktionen genomfördes i ett ultraljudsbad. De sammanslagna extrakten tillsattes vatten och en organfas separerades. Provet tvättades därefter med natriumsulfat varefter det hydrolyserades med en kaliumhydroxidlösning. Organfasen fraktionerades därefter på kiselgelkolonn
provberedning_tx	IVL_PAH_SED	IVL-metod för PAH i sediment - Cirka 10 g vått sedimentprov  vägdes in i en extraktionshylsa av glasfiber och soxhlet-extraherades under 24 h med aceton/hexan. Aceton/ hexanextraktet späddes med vatten och vätske/vätske-extraherades med en blandning av pentan/dietyleter två gånger. Pentanextrakten slogs ihop inför vidare upparbetning. För att isolera PAH-fraktionen från ämnen som kan interferera i den kromatografiska bestämningen gjordes en fraktionering av pentanextraktet på kiselgelkolonn
provberedning_tx	ISO_11464_2006_modifierad	ISO 11464:2006 (modifierad) Soil quality - Pretreatment of samples for physico-chemical analysis (ISO 11464:2006, IDT). This International Standard specifies the pretreatments required for soil samples that are to be subjected to physico-chemical analyses of stable and non-volatile parameters and describes the following five types of pretreatment of samples: drying, crushing, sieving, dividing and milling. The pretreatment procedures described in this International Standard are not applicable if they affect the results of the determinations to be made. This International Standard is also not applicable to samples when volatile compounds are measured. In general, International Standards for analytical methods will state when it is necessary to adopt other procedures
provberedning_tx	IVL_PBDE	IVL-metod för bestämning av Polybromerade difenyletrar (PBDE) - 4-10 g homogenat spikas med internstandard och extraheras 2 gånger med 20 ml aceton och två gånger med 20 ml pentan:eter (9:1) i ultraljudsbad (15 min/gång). Proverna vätske/vätskeextraheras med pentan:eter (9:1), upprenas med svavelsyrabehandling och fraktioneras genom en aluminiumoxidkolonn innan analys
provberedning_tx	IVL_PCB_BERED	IVL-metod för bestämning av Polyklorerade bifenyler (PCB), provberedning - 10 g provmaterial väges in och spikas med internstandard. Prover extraheras i 15 ml aceton i två omgångar och med pentan:eter (9:1) i två omgångar i ultraljudsbad (15 min/gång), vätske/vätske-extraheras med pentan:eter (9:1), upprenas med svavelsyrabehandling och fraktioneras genom en aluminiumoxidkolonn innan analys
provberedning_tx	IVL_PFAS_BIOTA_BERED	IVL-PFAS BIOTA, provberedning. IVL-metod för bestämning av PFAS i biota. 1 g homogeniserat prov vägs in. En blandning av isotopinmärkta internstandarder som motsvarar de ämnen som skall analyseras tillsätts till varje prov, med en tillsatt mängd av 10 ng per ämne. Proverna ekvilibreras sedan vid rumstemperatur i 30 minuter före extraktion i ultraljudsbad med 2 × 5 ml metanol. Extrakten kombineras och koncentreras till 1 ml under kvävgas följt av ett uppreningssteg via tillsats av 25 mg aktivt kol (graphitized carbon black, GCB). Partiklarna avlägsnas genom centrifugering. Sedan tas 0,5 ml av provet och tillsätts till 0,5 ml lösning av ammoniumacetat i vatten. Ämnen som faller ut efter denna tillsats avlägsnas genom centrifugering innan analys
provberedning_tx	JONBYTKROM	Jonbyteskromatografi
provberedning_tx	JPE_TBA_MTBE	Jonparsextraktion vid pH 10 med TBA (tetrabutylammonium) över till metyl-teriär butyl eter (MTBE)
provberedning_tx	KARB_BUFF-pH10	Karbonatbuffer till pH = 10
provberedning_tx	KOH_HEX	KOH/n-hexan
provberedning_tx	KOLONNKROM	Kolonnkromatografi
provberedning_tx	KONC	Koncentrering
provberedning_tx	KONS_VP_SYRA	Konservering av vattenprov med syra enligt standard
provberedning_tx	LIBO2	Litiumboratsmälta
provberedning_tx	LIP_CONT_GRAV	Bestämning av lipidhalt med gravimetri
provberedning_tx	LUFTNING	Luftning på  laboratorium
provberedning_tx	LUFTTORK	Lufttorkning
provberedning_tx	MALNING	Malning
provberedning_tx	MEOH-HEXAN	Extraktion med metanol (MeOH)/hexan
provberedning_tx	MEOH_TOLU_DCM	Extraktion med metanol/toluen/diklormetan (10:10:80)
provberedning_tx	MIKRO	Mikrovåg
provberedning_tx	MIKRO-HNO3	Upplösning har skett i mikrovågsugn med HNO3. 5 ml prov tas ut från provflaska, 1,25 ml koncentrerad HNO3 (67-69%) tillsätts i vial. Provet uppsluts i mikrovågsugn 170 grader Celsius, 10 min
provberedning_tx	MIKRO-TEFL-HNO3-H2O	Upplösning har skett i mikrovågsugn i slutna teflonbehållare med HNO3/H2O (salpetersyra/vatten)1:1 utan föregående torkning
provberedning_tx	MIKRO-TEFL-HNO3-H2O2	Upplösning har skett i mikrovågsugn i slutna teflonbehållare med HNO3/H2O2 (salpetersyra/väteperoxid) utan föregående torkning
provberedning_tx	MIKRO-TEFL-HNO3-H2O2-HF	Upplösning har skett i mikrovågsugn i slutna teflonbehållare med HNO3/H2O2/HF (salpetersyra/väteperoxid/vätefluorid) utan föregående torkning
provberedning_tx	MSTFA	Derivatisering med MSTFA (N-Metyl-N-trimetylsilyl-trifluoracetamid)
provberedning_tx	MeOH	Extraktion med metanol
provberedning_tx	MeOHH2O	Extraktion Metanol/H2O 1:1
provberedning_tx	MeOH_EtACET	Extraktion med  metanol/etylacetat
provberedning_tx	NEUTR_NaOH	Neutralisering med natriumhydroxid
provberedning_tx	NH4Cl	Extraktion med ammoniumklorid
provberedning_tx	Na2S2O4_NaHCO3	Extraktion med natriumvätekarbonatbuffrad natriumditionitlösning
provberedning_tx	NaOH	Extraktion med natriumhydroxid
provberedning_tx	NaSO4	Natriumsulfat
provberedning_tx	PENTAN	Pentan
provberedning_tx	PENT_DEE	Blandning av pentan och dietyleter
provberedning_tx	PENT_ETER	Extraktion med pentan/eter 9/1
provberedning_tx	PHE-HYP	Phenat/hypoklorit
provberedning_tx	Re_ISTD	Rhenium intern standard
provberedning_tx	SAKNAS	Saknas
provberedning_tx	SED	Sedimentering
provberedning_tx	SEKV_EXTR_UMU	Sekventiell extraktion av prov med: 1,5 ml metanol:vatten (7:3) med 0,1 % myrsyra; 1,5 ml acetonitril och 1,5 ml 5 % trietylamin i metanol:vatten (1:3)
provberedning_tx	SIKTNING	Siktning
provberedning_tx	SILIKA	Rening med silikagel
provberedning_tx	SILIKA_SUR	Rening med sur kiselgel
provberedning_tx	SILIKA_SUR_BAS	Rening med sur och basisk kiselgel
provberedning_tx	SKAK	Skakning
provberedning_tx	SNCL2	Tennklorid. Tenn(II)-klorid används för reduktion
provberedning_tx	SOXHLET	Soxhlet-extraktion
provberedning_tx	SOXHLET_HEXAN	Soxhletextraktion med n-hexan
provberedning_tx	SOXTHERM	Soxtherm – extraktionssystem för fettbestämning från C. Gerhardt GmbH & Co. KG, Germany. Ett fastfas-vätskefas snabbt automatiskt fett-extraktionssystem för fettbestämning samt provberedning av prover för bland annat miljöanalyser
provberedning_tx	SPE-1_procent_NH3MeOH-MeOH	Fastfas-extraktion (SPE) med basisk metanol (1% ammoniak) och metanol som eluent
provberedning_tx	SPE_AMBERL_XAD2	Fast fas-extraktion (SPE) med Amberlit XAD-2-kolonn
